asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
iN1011-N17,iN1011-N17 HCl Capsule (Part 1); iN1011-N17 HCl Capsule (Part 2); iN1011-N17 HCl Capsule (Part 3); iN1011-N17 HCl Suspension (Part 1); iN1011-N17 Mesylate Capsule (Part 2); iN1011-N17 Mesylate Capsule (Part 3),"iN Therapeutics Co., Ltd.",7,PHASE1,COMPLETED; UNKNOWN,2020-09-30,2024-06-24,NCT05496205; NCT06218784; NCT06218784; NCT06218784; NCT06218784; NCT06218784; NCT06218784
PEP/Euflexxa,,Rion Inc.,1,PHASE1,UNKNOWN,2024-11-01,2024-06-17,NCT06463132
PEP,,Rion Inc.,1,PHASE1,UNKNOWN,2024-11-01,2024-06-17,NCT06463132
Autologous Bone Marrow Aspirate Concentrate,,CELL Technologies Inc.,1,PHASE3,NOT_YET_RECRUITING,2024-09,2024-05-24,NCT06216028
OLP-1002,,OliPass Corporation,1,PHASE2,COMPLETED,2021-01-11,2024-05-10,NCT05216341
LG00034053,,LG Chem,1,"PHASE1,PHASE2",COMPLETED,2022-04-27,2024-05-03,NCT05237752
G001 Topical Gel,,BUZZZ Pharmaceuticals Limited,1,PHASE2,COMPLETED,2021-01-06,2024-04-23,NCT05007808
TLC599 LD group,,Taiwan Liposome Company,1,PHASE2,COMPLETED,2017-03-16,2024-04-22,NCT03005873
TLC599 HD group,,Taiwan Liposome Company,1,PHASE2,COMPLETED,2017-03-16,2024-04-22,NCT03005873
Pentosan Polysulfate Sodium Fixed Dose,,Paradigm Biopharmaceuticals USA (INC),1,"PHASE2,PHASE3",ACTIVE_NOT_RECRUITING,2021-10-19,2024-04-08,NCT04809376
"E1K 1,200 ㎍/joint",,Ensol Bioscience,1,PHASE2,COMPLETED,2022-06-13,2024-04-04,NCT05697952
"E1K 2,400 ㎍/joint",,Ensol Bioscience,1,PHASE2,COMPLETED,2022-06-13,2024-04-04,NCT05697952
X0002,X0002 Spray,"Jiangsu XinChen-Techfields Pharma Co., LTD.; Lina Xu; Techfields Pharma Co. Ltd; Tianjin XinChen-Techfields Pharma Co., LTD.",6,PHASE1; PHASE2; PHASE3,COMPLETED; WITHDRAWN,2014-02,2024-03-28,NCT03691818; NCT03110523; NCT02067611; NCT02794740; NCT03081806; NCT05324163
2ccPA,,"Orient Europharma Co., Ltd.",2,"PHASE1; PHASE1,PHASE2",COMPLETED; UNKNOWN,2018-02-13,2024-03-21,NCT05807529; NCT04229394
SP5M001 inj,,Shin Poong Pharmaceutical Co. Ltd.,1,PHASE3,COMPLETED,2021-04-14,2024-03-13,NCT06307847
Synovian inj,,Shin Poong Pharmaceutical Co. Ltd.,1,PHASE3,COMPLETED,2021-04-14,2024-03-13,NCT06307847
Clodronate,,SPA Società Prodotti Antibiotici S.p.A.,3,"PHASE2,PHASE3",UNKNOWN,2023-10-12,2024-02-16,NCT06263517; NCT06263517; NCT06263517
